Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-07-24,Twelve Monkeys,1995,https://boxd.it/6WAoJ7,4,,,2024-07-23
2024-07-27,Predestination,2014,https://boxd.it/6XWNVl,4.5,,,2024-07-26
2024-07-27,No Strings Attached,2011,https://boxd.it/6YdMGD,3,,,2024-07-27
2024-07-29,Lost Highway,1997,https://boxd.it/6YU287,1.5,,,2024-07-28
2024-08-05,Children of Men,2006,https://boxd.it/71SxMF,4,,,2024-08-04
2024-08-06,The Butterfly Effect,2004,https://boxd.it/72oFov,4,,,2024-08-05
2024-08-07,Eyes Wide Shut,1999,https://boxd.it/72OHJd,3.5,,,2024-08-06
2024-08-10,(500) Days of Summer,2009,https://boxd.it/74hiDr,3.5,,,2024-08-10
2024-08-11,Ed Wood,1994,https://boxd.it/74s2Kt,3.5,,,2024-08-10
2024-08-13,Requiem for a Dream,2000,https://boxd.it/75oIWx,4.5,,,2024-08-12
2024-08-16,Kiss Kiss Bang Bang,2005,https://boxd.it/76GadN,2.5,,,2024-08-15
2024-08-19,The Shining,1980,https://boxd.it/78bdpj,4,,,2024-08-18
2024-08-23,Citizen Kane,1941,https://boxd.it/79YUut,3.5,,,2024-08-22
2024-08-25,American Beauty,1999,https://boxd.it/7beXZF,3.5,,,2024-08-25
2024-08-26,Cast Away,2000,https://boxd.it/7bpKh3,4,,,2024-08-25
2024-08-27,The Usual Suspects,1995,https://boxd.it/7bXwf1,3,,,2024-08-26
2024-08-28,Vertigo,1958,https://boxd.it/7cpHqZ,4.5,,,2024-08-27
2024-08-30,Insomnia,2002,https://boxd.it/7dc1j1,3,,,2024-08-29
2024-08-31,Before Sunset,2004,https://boxd.it/7dVtwn,4.5,,,2024-08-31
2024-09-01,Thank You for Smoking,2005,https://boxd.it/7es7CT,4,,,2024-09-01
2024-09-07,"I Love You, Man",2009,https://boxd.it/7gKEw9,1.5,,,2024-09-06
2024-09-08,L.A. Confidential,1997,https://boxd.it/7henM5,4.5,,,2024-09-07
2024-09-09,Psycho,1960,https://boxd.it/7hIDFJ,4,,,2024-09-08
2024-09-09,2001: A Space Odyssey,1968,https://boxd.it/7hSipZ,4,,,2024-09-08
