Date,Name,Year,Letterboxd URI,Rating
2024-08-25,The Lobster,2015,https://boxd.it/7tnw,3
2024-08-25,A Ghost Story,2017,https://boxd.it/fb0K,2.5
2024-08-25,Se7en,1995,https://boxd.it/29zs,3.5
2024-08-25,Zodiac,2007,https://boxd.it/27MO,3
2024-08-25,Shame,2011,https://boxd.it/2CxU,3.5
2024-08-25,Amélie,2001,https://boxd.it/2aUc,3.5
2024-08-25,Moonrise Kingdom,2012,https://boxd.it/2Wng,3.5
2024-08-25,The Fifth Element,1997,https://boxd.it/71k,2
2024-08-25,A Scanner Darkly,2006,https://boxd.it/25jK,2.5
2024-08-25,Palm Springs,2020,https://boxd.it/lCXQ,4
2024-08-25,The Prestige,2006,https://boxd.it/293w,3
2024-08-25,Interstellar,2014,https://boxd.it/4VZ8,5
2024-08-25,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,3.5
2024-08-25,Ruby Sparks,2012,https://boxd.it/3w9O,3.5
2024-08-25,Coherence,2013,https://boxd.it/6xza,4
2024-08-25,Good Will Hunting,1997,https://boxd.it/2ahY,4
2024-08-25,Carnage,2011,https://boxd.it/2peU,3
2024-08-25,Being John Malkovich,1999,https://boxd.it/2ahu,4
2024-08-25,Burn After Reading,2008,https://boxd.it/23BW,3
2024-08-25,Lost in Translation,2003,https://boxd.it/2b0E,4
2024-08-25,American Beauty,1999,https://boxd.it/71Y,3.5
2024-08-26,Cast Away,2000,https://boxd.it/20i8,4
2024-08-27,The Usual Suspects,1995,https://boxd.it/29XE,3
2024-08-28,Vertigo,1958,https://boxd.it/2apI,4.5
2024-08-30,Insomnia,2002,https://boxd.it/2aB0,3
2024-08-31,Before Sunset,2004,https://boxd.it/2bcg,4.5
2024-09-01,Thank You for Smoking,2005,https://boxd.it/1YOc,4
2024-09-07,"I Love You, Man",2009,https://boxd.it/1JZu,1.5
2024-09-07,Trap,2024,https://boxd.it/D4nK,4
2024-09-07,The Invisible Man,2020,https://boxd.it/kWlA,2.5
2024-09-08,L.A. Confidential,1997,https://boxd.it/27oC,4.5
2024-09-09,Psycho,1960,https://boxd.it/2ab2,4
2024-09-09,2001: A Space Odyssey,1968,https://boxd.it/2bf0,4
2024-09-10,Jurassic Park,1993,https://boxd.it/2aA2,5
2024-09-10,The Lost World: Jurassic Park,1997,https://boxd.it/2azS,5
2024-09-10,Jurassic Park III,2001,https://boxd.it/2azI,4.5
2024-09-11,Jurassic World,2015,https://boxd.it/4n0g,5
2024-09-11,Jurassic World: Fallen Kingdom,2018,https://boxd.it/bOnU,5
2024-09-12,Jurassic World Dominion,2022,https://boxd.it/ikXW,5
2024-09-16,The Descendants,2011,https://boxd.it/4Ba,3
2024-09-16,The Italian Job,2003,https://boxd.it/1Y86,3.5
2024-09-17,Whiplash,2014,https://boxd.it/7bQA,3.5
2024-09-21,Speak No Evil,2022,https://boxd.it/vqlg,1.5
2024-09-21,Eden Lake,2008,https://boxd.it/1Q1m,2
2024-09-25,Fracture,2007,https://boxd.it/220K,4.5
2024-09-27,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,3.5
2024-09-30,Borat Subsequent Moviefilm,2020,https://boxd.it/rNS0,4
2024-10-04,The Machinist,2004,https://boxd.it/248c,4
2024-10-07,The Ministry of Ungentlemanly Warfare,2024,https://boxd.it/u5zu,4
2024-10-10,Bullet Train,2022,https://boxd.it/qW26,3
2024-10-11,Challengers,2024,https://boxd.it/zld0,3
2024-10-13,Barbie,2023,https://boxd.it/bCLK,2.5
2024-10-16,The Terminal,2004,https://boxd.it/2a2O,4.5
2024-10-21,The Godfather Part II,1974,https://boxd.it/2aNq,4
2024-10-26,The Spanish Prisoner,1997,https://boxd.it/1nZW,4
2024-10-28,After Hours,1985,https://boxd.it/1VfS,3.5
